item,title,genres,ratings
356,Forrest Gump (1994),Comedy|Drama|Romance|War,4.5
318,"Shawshank Redemption, The (1994)",Crime|Drama,4
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,3.5
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,3
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,4
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,5
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,
110,Braveheart (1995),Action|Drama|War,3
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,2
527,Schindler's List (1993),Drama|War,4.5
2959,Fight Club (1999),Action|Crime|Drama|Thriller,2
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,4.5
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,
2858,American Beauty (1999),Drama|Romance,4
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,2.5
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,3
150,Apollo 13 (1995),Adventure|Drama|IMAX,3.5
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,4
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,4.5
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,
858,"Godfather, The (1972)",Crime|Drama,
457,"Fugitive, The (1993)",Thriller,
592,Batman (1989),Action|Crime|Thriller,
2028,Saving Private Ryan (1998),Action|Drama|War,
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,4
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,4
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,4
608,Fargo (1996),Comedy|Crime|Drama|Thriller,3
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,3
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,5
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,4.5
377,Speed (1994),Action|Romance|Thriller,
3578,Gladiator (2000),Action|Adventure|Drama,2
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,4
1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,3
590,Dances with Wolves (1990),Adventure|Drama|Western,
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,3.5
344,Ace Ventura: Pet Detective (1994),Comedy,2
4226,Memento (2000),Mystery|Thriller,3
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,2
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,4
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,4
1214,Alien (1979),Horror|Sci-Fi,3.5
1036,Die Hard (1988),Action|Crime|Thriller,3
500,Mrs. Doubtfire (1993),Comedy|Drama,
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,
1265,Groundhog Day (1993),Comedy|Fantasy|Romance,
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,5
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,3.5
1704,Good Will Hunting (1997),Drama|Romance,4
6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy,4
316,Stargate (1994),Action|Adventure|Sci-Fi,
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,
1721,Titanic (1997),Drama|Romance,
2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,2
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,
597,Pretty Woman (1990),Comedy|Romance,
3793,X-Men (2000),Action|Adventure|Sci-Fi,3.5
1193,One Flew Over the Cuckoo's Nest (1975),Drama,
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,
10,GoldenEye (1995),Action|Adventure|Thriller,
4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,4.5
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,
6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,3.5
7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,3.5
1221,"Godfather: Part II, The (1974)",Crime|Drama,
2329,American History X (1998),Crime|Drama,
34,Babe (1995),Children|Drama,
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,
1213,Goodfellas (1990),Crime|Drama,
8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,4.5
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,4.5
541,Blade Runner (1982),Action|Sci-Fi|Thriller,3.5
736,Twister (1996),Action|Adventure|Romance|Thriller,
4995,"Beautiful Mind, A (2001)",Drama|Romance,
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,5
5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller,3.5
733,"Rock, The (1996)",Action|Adventure|Thriller,
2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,3
1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,3.5
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,4
5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller,4
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,
4963,Ocean's Eleven (2001),Crime|Thriller,
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,
33794,Batman Begins (2005),Action|Crime|IMAX,
586,Home Alone (1990),Children|Comedy,
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,
5989,Catch Me If You Can (2002),Crime|Drama,
208,Waterworld (1995),Action|Adventure|Sci-Fi,
1968,"Breakfast Club, The (1985)",Comedy|Drama,4.5
185,"Net, The (1995)",Action|Crime|Thriller,
5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller,
3147,"Green Mile, The (1999)",Crime|Drama,
2,Jumanji (1995),Adventure|Children|Fantasy,
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance,
7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,4
1258,"Shining, The (1980)",Horror,
4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,3.5
2918,Ferris Bueller's Day Off (1986),Comedy,4
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,4.5
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy,4
1208,Apocalypse Now (1979),Action|Drama|War,
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,5
48516,"Departed, The (2006)",Crime|Drama|Thriller,
539,Sleepless in Seattle (1993),Comedy|Drama|Romance,4.5
1732,"Big Lebowski, The (1998)",Comedy|Crime,
1923,There's Something About Mary (1998),Comedy|Romance,4
68954,Up (2009),Adventure|Animation|Children|Drama,5
39,Clueless (1995),Comedy|Romance,4.5
111,Taxi Driver (1976),Crime|Drama|Thriller,
223,Clerks (1994),Comedy,
60069,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,4.5
2706,American Pie (1999),Comedy|Romance,
357,Four Weddings and a Funeral (1994),Comedy|Romance,
161,Crimson Tide (1995),Drama|Thriller|War,
6,Heat (1995),Action|Crime|Thriller,
1222,Full Metal Jacket (1987),Drama|War,
5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy,4.5
778,Trainspotting (1996),Comedy|Crime|Drama,
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,
434,Cliffhanger (1993),Action|Adventure|Thriller,
454,"Firm, The (1993)",Drama|Thriller,
912,Casablanca (1942),Drama|Romance,
1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy,
4022,Cast Away (2000),Drama,4.5
44191,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX,3.5
104,Happy Gilmore (1996),Comedy,
2997,Being John Malkovich (1999),Comedy|Drama|Fantasy,4.5
339,While You Were Sleeping (1995),Comedy|Romance,
3114,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,
72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,3.5
2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,
1784,As Good as It Gets (1997),Comedy|Drama|Romance,
1961,Rain Man (1988),Drama,
3949,Requiem for a Dream (2000),Drama,
6365,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,2
2502,Office Space (1999),Comedy|Crime,
4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime,4
59315,Iron Man (2008),Action|Adventure|Sci-Fi,
551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,
4011,Snatch (2000),Comedy|Crime|Thriller,
8368,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX,4
2396,Shakespeare in Love (1998),Comedy|Drama|Romance,
8360,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance,
5378,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX,3.5
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,
2355,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,
1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,
288,Natural Born Killers (1994),Action|Crime|Thriller,
1259,Stand by Me (1986),Adventure|Drama,
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller,
1387,Jaws (1975),Action|Horror,
2174,Beetlejuice (1988),Comedy|Fantasy,
2797,Big (1988),Comedy|Drama|Fantasy|Romance,
3948,Meet the Parents (2000),Comedy,
1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller,
48780,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,
21,Get Shorty (1995),Comedy|Crime|Thriller,
1080,Monty Python's Life of Brian (1979),Comedy,
68157,Inglourious Basterds (2009),Action|Drama|War,
2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,
2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War,
2012,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,
19,Ace Ventura: When Nature Calls (1995),Comedy,
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,
2617,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller,
2791,Airplane! (1980),Comedy,4.5
5618,5,Adventure|Animation|Fantasy,
141,"Birdcage, The (1996)",Comedy,
1246,Dead Poets Society (1989),Drama,
1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi,
1653,Gattaca (1997),Drama|Sci-Fi|Thriller,
5218,Ice Age (2002),Adventure|Animation|Children|Comedy,
1307,When Harry Met Sally... (1989),Comedy|Romance,4.5
1393,Jerry Maguire (1996),Drama|Romance,4
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,
32587,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,
95,Broken Arrow (1996),Action|Adventure|Thriller,
904,Rear Window (1954),Mystery|Thriller,
410,Addams Family Values (1993),Children|Comedy|Fantasy,
1101,Top Gun (1986),Action|Romance,
1219,Psycho (1960),Crime|Horror,
3897,Almost Famous (2000),Drama,
16,Casino (1995),Crime|Drama,
788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,
1584,Contact (1997),Drama|Sci-Fi,
442,Demolition Man (1993),Action|Adventure|Sci-Fi,
49272,Casino Royale (2006),Action|Adventure|Thriller,
54286,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller,
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,
300,Quiz Show (1994),Drama,
48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller,
62,Mr. Holland's Opus (1995),Drama,
1676,Starship Troopers (1997),Action|Sci-Fi,
2291,Edward Scissorhands (1990),Drama|Fantasy|Romance,4.5
51662,300 (2007),Action|Fantasy|War|IMAX,
1247,"Graduate, The (1967)",Comedy|Drama|Romance,3
3052,Dogma (1999),Adventure|Comedy|Fantasy,
6934,"Matrix Revolutions, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,
8636,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX,
3751,Chicken Run (2000),Animation|Children|Comedy,
33493,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi,2
3623,Mission: Impossible II (2000),Action|Adventure|Thriller,
46578,Little Miss Sunshine (2006),Adventure|Comedy|Drama,
8874,Shaun of the Dead (2004),Comedy|Horror,
1573,Face/Off (1997),Action|Crime|Drama|Thriller,
1625,"Game, The (1997)",Drama|Mystery|Thriller,
337,What's Eating Gilbert Grape (1993),Drama,
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,
25,Leaving Las Vegas (1995),Drama|Romance,
440,Dave (1993),Comedy|Romance,
1225,Amadeus (1984),Drama,
2700,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical,
6333,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller,
69122,"Hangover, The (2009)",Comedy|Crime,
91529,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX,
3481,High Fidelity (2000),Comedy|Drama|Romance,
8665,"Bourne Supremacy, The (2004)",Action|Crime|Thriller,
6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller,
3175,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,
2692,Run Lola Run (Lola rennt) (1998),Action|Crime,
2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama,
368,Maverick (1994),Adventure|Comedy|Western,
1485,Liar Liar (1997),Comedy,
6711,Lost in Translation (2003),Comedy|Drama|Romance,3.5
35836,"40-Year-Old Virgin, The (2005)",Comedy|Romance,
3994,Unbreakable (2000),Drama|Sci-Fi,
109487,Interstellar (2014),Sci-Fi|IMAX,3
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,
3977,Charlie's Angels (2000),Action|Comedy,
45722,Pirates of the Caribbean: Dead Man's Chest (2006),Action|Adventure|Fantasy,
50872,Ratatouille (2007),Animation|Children|Drama,
99114,Django Unchained (2012),Action|Drama|Western,
6373,Bruce Almighty (2003),Comedy|Drama|Fantasy|Romance,
63082,Slumdog Millionaire (2008),Crime|Drama|Romance,
40815,Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller|IMAX,5
1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,
1079,"Fish Called Wanda, A (1988)",Comedy|Crime,
1407,Scream (1996),Comedy|Horror|Mystery|Thriller,
3408,Erin Brockovich (2000),Drama,
2985,RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller,2
4034,Traffic (2000),Crime|Drama|Thriller,
474,In the Line of Fire (1993),Action|Thriller,
235,Ed Wood (1994),Comedy|Drama,
11,"American President, The (1995)",Comedy|Drama|Romance,
520,Robin Hood: Men in Tights (1993),Comedy,
923,Citizen Kane (1941),Drama|Mystery,
1278,Young Frankenstein (1974),Comedy|Fantasy,
7147,Big Fish (2003),Drama|Fantasy|Romance,
89745,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX,
2054,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi,
4979,"Royal Tenenbaums, The (2001)",Comedy|Drama,
3753,"Patriot, The (2000)",Action|Drama|War,
266,Legends of the Fall (1994),Drama|Romance|War|Western,
1380,Grease (1978),Comedy|Musical|Romance,
1370,Die Hard 2 (1990),Action|Adventure|Thriller,
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,
17,Sense and Sensibility (1995),Drama|Romance,
36,Dead Man Walking (1995),Crime|Drama,
1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,
2081,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance,5
2353,Enemy of the State (1998),Action|Thriller,
2542,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,
4262,Scarface (1983),Action|Crime|Drama,
74458,Shutter Island (2010),Drama|Mystery|Thriller,
1288,This Is Spinal Tap (1984),Comedy,
6863,School of Rock (2003),Comedy|Musical,
508,Philadelphia (1993),Drama,
163,Desperado (1995),Action|Romance|Western,
555,True Romance (1993),Crime|Thriller,
653,Dragonheart (1996),Action|Adventure|Fantasy,
2194,"Untouchables, The (1987)",Action|Crime|Drama,
4246,Bridget Jones's Diary (2001),Comedy|Drama|Romance,4
5481,Austin Powers in Goldmember (2002),Comedy,
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Comedy,
56367,Juno (2007),Comedy|Drama|Romance,5
70286,District 9 (2009),Mystery|Sci-Fi|Thriller,
553,Tombstone (1993),Action|Drama|Western,
1954,Rocky (1976),Drama,
4025,Miss Congeniality (2000),Comedy|Crime,
55820,No Country for Old Men (2007),Crime|Drama,
48774,Children of Men (2006),Action|Adventure|Drama|Sci-Fi|Thriller,
4447,Legally Blonde (2001),Comedy|Romance,3.5
1234,"Sting, The (1973)",Comedy|Crime,
2710,"Blair Witch Project, The (1999)",Drama|Horror|Thriller,
1035,"Sound of Music, The (1965)",Musical|Romance,4.5
786,Eraser (1996),Action|Drama|Thriller,
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,
435,Coneheads (1993),Comedy|Sci-Fi,
1090,Platoon (1986),Drama|War,
2657,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,
5502,Signs (2002),Horror|Sci-Fi|Thriller,
41566,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Adventure|Children|Fantasy,4
7143,"Last Samurai, The (2003)",Action|Adventure|Drama|War,
3081,Sleepy Hollow (1999),Fantasy|Horror|Mystery|Romance,
56174,I Am Legend (2007),Action|Horror|Sci-Fi|Thriller|IMAX,
3421,Animal House (1978),Comedy,
3671,Blazing Saddles (1974),Comedy|Western,
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller,
1304,Butch Cassidy and the Sundance Kid (1969),Action|Western,
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,
173,Judge Dredd (1995),Action|Crime|Sci-Fi,
158,Casper (1995),Adventure|Children,
3527,Predator (1987),Action|Sci-Fi|Thriller,
51255,Hot Fuzz (2007),Action|Comedy|Crime|Mystery,
8644,"I, Robot (2004)",Action|Adventure|Sci-Fi|Thriller,
5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Action|Comedy|Sci-Fi,
3717,Gone in 60 Seconds (2000),Action|Crime,
